date,product_name,therapeutic_area,region,sales_units,unit_price,marketing_spend,revenue
2021-01-01,CardioVasc-X,Cardiology,North America,8520,122.78,23086.2,1046085.6
2021-01-01,CardioVasc-X,Cardiology,Europe,6364,115.87,12830.8,737396.68
2021-01-01,CardioVasc-X,Cardiology,Asia Pacific,5624,114.25,17763.87,642542.0
2021-01-01,CardioVasc-X,Cardiology,Latin America,3102,116.2,7954.42,360452.4
2021-01-01,OncoShield-A,Oncology,North America,1736,446.94,22016.24,775887.84
2021-01-01,OncoShield-A,Oncology,Europe,1381,433.78,19194.27,599050.18
2021-01-01,OncoShield-A,Oncology,Asia Pacific,1063,448.02,11048.33,476245.26
2021-01-01,OncoShield-A,Oncology,Latin America,813,450.64,7866.95,366370.32
2021-01-01,NeuroCalm,Neurology,North America,13413,85.91,18713.59,1152310.83
2021-01-01,NeuroCalm,Neurology,Europe,10841,81.58,14519.16,884408.78
2021-01-01,NeuroCalm,Neurology,Asia Pacific,9248,81.79,11875.39,756393.92
2021-01-01,NeuroCalm,Neurology,Latin America,5183,88.48,8039.43,458591.84
2021-01-01,ImmunoFlex,Immunology,North America,5502,225.67,24454.69,1241636.34
2021-01-01,ImmunoFlex,Immunology,Europe,5300,222.75,25668.43,1180575.0
2021-01-01,ImmunoFlex,Immunology,Asia Pacific,3687,220.54,15493.86,813130.98
2021-01-01,ImmunoFlex,Immunology,Latin America,1965,224.74,7183.65,441614.1
2021-01-01,DiabeCare,Endocrinology,North America,19886,63.58,19065.32,1264351.88
2021-01-01,DiabeCare,Endocrinology,Europe,13791,66.96,12769.18,923445.36
2021-01-01,DiabeCare,Endocrinology,Asia Pacific,11596,61.79,11672.31,716516.84
2021-01-01,DiabeCare,Endocrinology,Latin America,7778,66.49,10047.82,517159.22
2021-01-01,CardioVasc-X,Cardiology,North America,8083,124.36,17596.64,1005201.88
2021-01-01,CardioVasc-X,Cardiology,Europe,6724,114.76,11603.12,771646.24
2021-01-01,CardioVasc-X,Cardiology,Asia Pacific,4531,122.76,10585.9,556225.56
2021-01-01,CardioVasc-X,Cardiology,Latin America,3419,119.67,10575.57,409151.73
2021-01-01,OncoShield-A,Oncology,North America,1968,461.74,22675.25,908704.32
2021-01-01,OncoShield-A,Oncology,Europe,1659,449.72,21583.79,746085.48
2021-01-01,OncoShield-A,Oncology,Asia Pacific,1234,428.64,6471.32,528941.76
2021-01-01,OncoShield-A,Oncology,Latin America,836,450.39,6491.01,376526.04
2021-01-01,NeuroCalm,Neurology,North America,13945,84.24,20216.8,1174726.8
2021-01-01,NeuroCalm,Neurology,Europe,10701,81.4,13991.94,871061.4
2021-01-01,NeuroCalm,Neurology,Asia Pacific,7752,88.65,11395.66,687214.8
2021-01-01,NeuroCalm,Neurology,Latin America,5807,88.16,9971.38,511945.12
2021-01-01,ImmunoFlex,Immunology,North America,6107,239.03,18905.39,1459756.21
2021-01-01,ImmunoFlex,Immunology,Europe,4763,239.11,21173.17,1138880.93
2021-01-01,ImmunoFlex,Immunology,Asia Pacific,3449,223.74,11685.04,771679.26
2021-01-01,ImmunoFlex,Immunology,Latin America,2300,238.3,11371.14,548090.0
2021-01-01,DiabeCare,Endocrinology,North America,18436,64.46,21167.46,1188384.56
2021-01-01,DiabeCare,Endocrinology,Europe,13723,63.94,15300.32,877448.62
2021-01-01,DiabeCare,Endocrinology,Asia Pacific,11644,65.12,13155.25,758257.28
2021-01-01,DiabeCare,Endocrinology,Latin America,7935,68.07,7353.21,540135.45
2021-03-01,CardioVasc-X,Cardiology,North America,9052,117.42,13120.9,1062885.84
2021-03-01,CardioVasc-X,Cardiology,Europe,7121,120.03,17071.6,854733.63
2021-03-01,CardioVasc-X,Cardiology,Asia Pacific,5974,115.74,13160.91,691430.76
2021-03-01,CardioVasc-X,Cardiology,Latin America,3769,116.9,9745.17,440596.1
2021-03-01,OncoShield-A,Oncology,North America,2574,438.19,26158.19,1127901.06
2021-03-01,OncoShield-A,Oncology,Europe,1915,455.95,14046.38,873144.25
2021-03-01,OncoShield-A,Oncology,Asia Pacific,1676,431.56,15294.02,723294.56
2021-03-01,OncoShield-A,Oncology,Latin America,958,435.89,8224.49,417582.62
2021-03-01,NeuroCalm,Neurology,North America,14987,86.51,21716.02,1296525.37
2021-03-01,NeuroCalm,Neurology,Europe,11426,82.68,16759.76,944701.68
2021-03-01,NeuroCalm,Neurology,Asia Pacific,9483,86.62,10779.44,821417.46
2021-03-01,NeuroCalm,Neurology,Latin America,5984,81.92,10257.5,490209.28
2021-03-01,ImmunoFlex,Immunology,North America,6450,239.77,17956.31,1546516.5
2021-03-01,ImmunoFlex,Immunology,Europe,5322,233.68,15535.56,1243644.96
2021-03-01,ImmunoFlex,Immunology,Asia Pacific,4556,230.68,14310.17,1050978.08
2021-03-01,ImmunoFlex,Immunology,Latin America,2568,239.14,8532.8,614111.52
2021-03-01,DiabeCare,Endocrinology,North America,22944,63.95,22398.33,1467268.8
2021-03-01,DiabeCare,Endocrinology,Europe,15619,67.58,21076.73,1055532.02
2021-03-01,DiabeCare,Endocrinology,Asia Pacific,13331,65.92,14373.22,878779.52
2021-03-01,DiabeCare,Endocrinology,Latin America,8843,61.81,9537.98,546585.83
2021-04-01,CardioVasc-X,Cardiology,North America,9506,114.06,22694.05,1084254.36
2021-04-01,CardioVasc-X,Cardiology,Europe,6844,122.3,17432.72,837021.2
2021-04-01,CardioVasc-X,Cardiology,Asia Pacific,6143,122.55,10497.72,752824.65
2021-04-01,CardioVasc-X,Cardiology,Latin America,3453,122.96,7807.21,424580.88
2021-04-01,OncoShield-A,Oncology,North America,2558,457.09,25567.98,1169236.22
2021-04-01,OncoShield-A,Oncology,Europe,1785,444.05,13920.88,792629.25
2021-04-01,OncoShield-A,Oncology,Asia Pacific,1319,471.29,11329.53,621631.51
2021-04-01,OncoShield-A,Oncology,Latin America,918,455.9,10802.06,418516.2
2021-04-01,NeuroCalm,Neurology,North America,17831,85.65,21493.25,1527225.15
2021-04-01,NeuroCalm,Neurology,Europe,11549,86.89,12105.92,1003492.61
2021-04-01,NeuroCalm,Neurology,Asia Pacific,9729,88.74,10829.6,863351.46
2021-04-01,NeuroCalm,Neurology,Latin America,6503,88.97,8959.41,578571.91
2021-04-01,ImmunoFlex,Immunology,North America,5955,238.08,17806.87,1417766.4
2021-04-01,ImmunoFlex,Immunology,Europe,4929,231.31,13724.13,1140126.99
2021-04-01,ImmunoFlex,Immunology,Asia Pacific,4355,231.61,14258.58,1008661.55
2021-04-01,ImmunoFlex,Immunology,Latin America,2527,241.27,9611.88,609689.29
2021-04-01,DiabeCare,Endocrinology,North America,19988,67.45,21687.07,1348190.6
2021-04-01,DiabeCare,Endocrinology,Europe,18466,66.32,19782.81,1224665.12
2021-04-01,DiabeCare,Endocrinology,Asia Pacific,11823,67.01,9984.05,792259.23
2021-04-01,DiabeCare,Endocrinology,Latin America,8678,67.69,9746.93,587413.82
2021-05-01,CardioVasc-X,Cardiology,North America,13166,123.58,23806.62,1627054.28
2021-05-01,CardioVasc-X,Cardiology,Europe,8371,123.55,21472.24,1034237.05
2021-05-01,CardioVasc-X,Cardiology,Asia Pacific,6263,118.51,13000.13,742228.13
2021-05-01,CardioVasc-X,Cardiology,Latin America,3555,114.43,9555.29,406798.65
2021-05-01,OncoShield-A,Oncology,North America,2183,440.39,31574.94,961371.37
2021-05-01,OncoShield-A,Oncology,Europe,1782,429.18,15552.38,764798.76
2021-05-01,OncoShield-A,Oncology,Asia Pacific,1534,433.22,12565.39,664559.48
2021-05-01,OncoShield-A,Oncology,Latin America,947,437.21,12136.7,414037.87
2021-05-01,NeuroCalm,Neurology,North America,15670,81.19,18430.58,1272247.3
2021-05-01,NeuroCalm,Neurology,Europe,14665,86.17,25061.15,1263683.05
2021-05-01,NeuroCalm,Neurology,Asia Pacific,9186,87.51,8255.23,803866.86
2021-05-01,NeuroCalm,Neurology,Latin America,5236,81.42,8427.68,426315.12
2021-05-01,ImmunoFlex,Immunology,North America,7530,227.91,23763.2,1716162.3
2021-05-01,ImmunoFlex,Immunology,Europe,5046,224.26,15824.68,1131615.96
2021-05-01,ImmunoFlex,Immunology,Asia Pacific,4485,233.68,18774.14,1048054.8
2021-05-01,ImmunoFlex,Immunology,Latin America,3035,232.57,9948.0,705849.95
2021-05-01,DiabeCare,Endocrinology,North America,19773,64.06,15024.72,1266658.38
2021-05-01,DiabeCare,Endocrinology,Europe,18765,62.39,16153.18,1170748.35
2021-05-01,DiabeCare,Endocrinology,Asia Pacific,11069,62.88,4880.48,696018.72
2021-05-01,DiabeCare,Endocrinology,Latin America,7249,65.75,5559.32,476621.75
2021-05-01,CardioVasc-X,Cardiology,North America,9908,118.5,19816.81,1174098.0
2021-05-01,CardioVasc-X,Cardiology,Europe,8957,124.28,17272.7,1113175.96
2021-05-01,CardioVasc-X,Cardiology,Asia Pacific,6068,114.85,11226.66,696909.8
2021-05-01,CardioVasc-X,Cardiology,Latin America,3839,121.03,8935.42,464634.17
2021-05-01,OncoShield-A,Oncology,North America,2527,444.97,22222.49,1124439.19
2021-05-01,OncoShield-A,Oncology,Europe,2074,452.05,14972.49,937551.7
2021-05-01,OncoShield-A,Oncology,Asia Pacific,1501,470.75,13544.7,706595.75
2021-05-01,OncoShield-A,Oncology,Latin America,927,441.85,8406.52,409594.95
2021-05-01,NeuroCalm,Neurology,North America,16664,81.75,19167.89,1362282.0
2021-05-01,NeuroCalm,Neurology,Europe,13817,88.21,20323.64,1218797.57
2021-05-01,NeuroCalm,Neurology,Asia Pacific,10277,83.15,16239.68,854532.55
2021-05-01,NeuroCalm,Neurology,Latin America,5840,87.61,10340.11,511642.4
2021-05-01,ImmunoFlex,Immunology,North America,7033,227.06,21638.33,1596912.98
2021-05-01,ImmunoFlex,Immunology,Europe,5647,239.91,14787.87,1354771.77
2021-05-01,ImmunoFlex,Immunology,Asia Pacific,4541,235.77,13360.6,1070631.57
2021-05-01,ImmunoFlex,Immunology,Latin America,2720,239.26,8552.76,650787.2
2021-05-01,DiabeCare,Endocrinology,North America,22976,63.83,27402.56,1466558.08
2021-05-01,DiabeCare,Endocrinology,Europe,17569,61.82,16256.06,1086115.58
2021-05-01,DiabeCare,Endocrinology,Asia Pacific,13157,67.93,14874.39,893755.01
2021-05-01,DiabeCare,Endocrinology,Latin America,9451,64.66,12874.19,611101.66
2021-06-01,CardioVasc-X,Cardiology,North America,8313,122.07,17473.67,1014767.91
2021-06-01,CardioVasc-X,Cardiology,Europe,7774,123.48,19836.71,959933.52
2021-06-01,CardioVasc-X,Cardiology,Asia Pacific,5333,114.69,14028.06,611641.77
2021-06-01,CardioVasc-X,Cardiology,Latin America,4044,124.65,5456.22,504084.6
2021-06-01,OncoShield-A,Oncology,North America,2167,433.93,18263.45,940326.31
2021-06-01,OncoShield-A,Oncology,Europe,1954,432.05,19297.58,844225.7
2021-06-01,OncoShield-A,Oncology,Asia Pacific,1331,430.77,14751.47,573354.87
2021-06-01,OncoShield-A,Oncology,Latin America,952,431.16,10423.33,410464.32
2021-06-01,NeuroCalm,Neurology,North America,12858,87.66,15539.63,1127132.28
2021-06-01,NeuroCalm,Neurology,Europe,12554,81.46,14904.22,1022648.84
2021-06-01,NeuroCalm,Neurology,Asia Pacific,10360,84.36,14936.93,873969.6
2021-06-01,NeuroCalm,Neurology,Latin America,5846,84.73,8808.14,495331.58
2021-06-01,ImmunoFlex,Immunology,North America,6317,235.66,23286.89,1488664.22
2021-06-01,ImmunoFlex,Immunology,Europe,5161,227.12,18881.11,1172166.32
2021-06-01,ImmunoFlex,Immunology,Asia Pacific,3960,223.64,16003.53,885614.4
2021-06-01,ImmunoFlex,Immunology,Latin America,2777,241.34,9505.6,670201.18
2021-06-01,DiabeCare,Endocrinology,North America,19786,68.05,22302.33,1346437.3
